epoch,train_loss,val_loss
1,56060614294.588234,57588150272.0
2,55504809164.8,56456556544.0
3,53646790270.49412,53727563776.0
4,50130191367.22823,49270247424.0
5,45064841683.42588,43406131200.0
6,38928523360.37647,36751163392.0
7,32450030071.56706,30109452288.0
8,26436225660.084705,24299819008.0
9,21563807524.74353,19828246528.0
10,18115822977.505882,16795741184.0
11,15925280729.449411,14900325376.0
12,14525158967.416471,13615019008.0
13,13495851832.018824,12628978688.0
14,12647700816.112942,11809088512.0
15,11913191201.731764,11112024064.0
16,11257610985.411764,10489756672.0
17,10662474542.381176,9921513472.0
18,10117253327.209412,9416452096.0
19,9614564026.729412,8944423936.0
20,9153029406.117647,8518894592.0
21,8728747326.644707,8127955456.0
22,8339845541.6470585,7771439616.0
23,7985344624.64,7450216448.0
24,7659915476.630589,7148073472.0
25,7365690619.181176,6882931200.0
26,7097240513.957647,6640510976.0
27,6852995043.689412,6421288448.0
28,6631455705.148235,6217910784.0
29,6431458416.338823,6042466304.0
30,6251877256.7341175,5878545408.0
31,6089733506.409411,5737777152.0
32,5944356279.717647,5602054144.0
33,5815684226.710588,5481567232.0
34,5698038490.0517645,5381146624.0
35,5591552297.863529,5283909632.0
36,5494336655.058824,5197965312.0
37,5406947375.585882,5120096256.0
38,5328443233.581177,5045229056.0
39,5256666986.917647,4976838144.0
40,5193102359.792941,4916823552.0
41,5136061212.611765,4862431744.0
42,5083606245.49647,4825553920.0
43,5036782596.517647,4779251200.0
44,4994498686.192941,4743892480.0
45,4956493285.49647,4706013184.0
46,4921858931.952941,4677114880.0
47,4891101630.042353,4647794688.0
48,4863553393.5435295,4621914112.0
49,4838384015.058824,4597464576.0
50,4815493424.790588,4578681856.0
51,4793819028.178823,4551708160.0
52,4777100911.73647,4533806592.0
53,4759031145.712941,4525868544.0
54,4743240199.529411,4508450304.0
55,4728128134.625882,4491536896.0
56,4715365118.192941,4482250752.0
57,4702728968.432941,4471368704.0
58,4691371692.724706,4457694208.0
59,4680810708.3294115,4445408768.0
60,4670838345.185883,4439691264.0
61,4660802696.7341175,4426825728.0
62,4652520732.912941,4425621504.0
63,4644942772.103529,4418933760.0
64,4636287544.018824,4404391424.0
65,4629657365.38353,4400177664.0
66,4622056860.611765,4396934656.0
67,4615634666.014117,4387389440.0
68,4609300649.863529,4384015360.0
69,4602960990.870588,4373962752.0
70,4597253911.792941,4372242944.0
71,4591901691.632941,4365577216.0
72,4586553827.388235,4360057856.0
73,4582036514.936471,4357685248.0
74,4576726969.825882,4352891392.0
75,4572307800.545882,4346770432.0
76,4567924266.164706,4340963840.0
77,4563320929.882353,4335917056.0
78,4559630670.908236,4333719552.0
79,4555365158.851765,4329898496.0
80,4551167003.407059,4325703168.0
81,4547539452.385882,4328035840.0
82,4544291346.974117,4318636032.0
83,4540340760.69647,4316792320.0
84,4536522269.214118,4315162624.0
85,4533293503.849412,4313586176.0
86,4530153848.771765,4310299136.0
87,4527104988.16,4308982272.0
88,4524131759.585882,4302545920.0
89,4521059818.315294,4296970752.0
90,4518641892.592941,4301035520.0
91,4515130765.854117,4301249024.0
92,4512866112.150588,4294717184.0
93,4510086076.235294,4290252288.0
94,4507905521.5435295,4286696448.0
95,4504990142.644706,4284005120.0
96,4501742454.663529,4285895168.0
97,4500176902.324706,4280187648.0
98,4496834421.157647,4275981824.0
99,4494302354.672941,4274300160.0
100,4492271603.350588,4273616384.0
