Model,MAE,MSE,RMSE,R2
MLP,47580.53515625,4509776896.0,67154.87246656045,0.6474478244781494
Linear Regression,50352.1796875,4867195392.0,69765.28787298164,0.6195065975189209
Decision Tree Regression,40981.143035347915,3913714617.1587915,62559.688435595584,0.6940450034043514
Random Forest Regression,32009.421856666664,2428523581.9598584,49280.052576675065,0.8101499478287498
